Atlanta
January 1996	8.26
February 1996	3.82
March 1996	6.42
April 1996	2.91
May 1996	2.12
June 1996	1.7
July 1996	2.14
August 1996	4.66
September 1996	4.32
October 1996	0.89
November 1996	3.22
December 1996	4.14
January 1997	5.65
February 1997	7.93
March 1997	2.18
April 1997	4.28
May 1997	3.36
June 1997	3.91
July 1997	4.71
August 1997	1.32
September 1997	4.83
October 1997	5.12
November 1997	3.34
December 1997	5.05
January 1998	5.83
February 1998	7.1
March 1998	6.25
April 1998	5.12
May 1998	1.23
June 1998	3.58
July 1998	2.93
August 1998	5.54
September 1998	4.45
October 1998	0.26
November 1998	1.97
December 1998	1.9
January 1999	5.34
February 1999	1.97
March 1999	3.32
April 1999	1.14
May 1999	4.42
June 1999	5.83
July 1999	3.43
August 1999	1.26
September 1999	4.19
October 1999	2.41
November 1999	3.34
December 1999	2.21
January 2000	4.89
February 2000	1.26
March 2000	3.63
April 2000	2.63
May 2000	1.86
June 2000	1.11
July 2000	2.7
August 2000	4.03
September 2000	4.93
October 2000	0.88
November 2000	5.02
December 2000	2.62
January 2001	2.77
February 2001	3.61
March 2001	9.08
April 2001	3.3
May 2001	3.31
June 2001	6.69
July 2001	2.54
August 2001	1.03
September 2001	2.19
October 2001	0.79
November 2001	0.87
December 2001	2.22
January 2002	5.35
February 2002	2.54
March 2002	5.49
April 2002	1.83
May 2002	3.52
June 2002	2.81
July 2002	2.59
August 2002	0.77
September 2002	6.39
October 2002	5.94
November 2002	5.36
December 2002	5.23
January 2003	2
February 2003	3.51
March 2003	7.08
April 2003	3.44
May 2003	9.94
June 2003	7.34
July 2003	5.35
August 2003	3.48
September 2003	2.41
October 2003	1.49
November 2003	4.17
December 2003	2.69
January 2004	2.84
February 2004	4.6
March 2004	1.04
April 2004	2.8
May 2004	2.58
June 2004	5.99
July 2004	2.2
August 2004	3.63
September 2004	13.65
October 2004	2.19
November 2004	7.26
December 2004	4.82
January 2005	2.57
February 2005	5.58
March 2005	7.49
April 2005	4.36
May 2005	1.98
June 2005	2.91
July 2005	14.63
August 2005	8.28
September 2005	0.07
October 2005	1.98
November 2005	2.91
December 2005	3.67
January 2006	5.1
February 2006	5.5
March 2006	2.93
April 2006	2.48
May 2006	2.86
June 2006	5.8
July 2006	1.31
August 2006	8.66
September 2006	3.31
October 2006	3.04
November 2006	4.39
December 2006	3.08
January 2007	3.95
February 2007	2.63
March 2007	1.31
April 2007	1.79
May 2007	2.05
June 2007	3.66
July 2007	1.85
August 2007	3.48
September 2007	2.92
October 2007	2.47
November 2007	0.96
December 2007	4.78
January 2008	2.85
February 2008	4.68
March 2008	5.17
April 2008	3.22
May 2008	2.8
June 2008	0.58
July 2008	7.17
August 2008	3.77
September 2008	0.75
October 2008	3.48
November 2008	2.64
December 2008	4.39
January 2009	2.88
February 2009	3.7
March 2009	7.13
April 2009	5.18
May 2009	4.54
June 2009	2.34
July 2009	5.02
August 2009	6.14
September 2009	8.94
October 2009	8.71
November 2009	5.75
December 2009	9.1
January 2010	5.38
February 2010	4.17
March 2010	4.24
April 2010	2.56
May 2010	6.87
June 2010	5.21
July 2010	4.37
August 2010	3.32
September 2010	1.6
October 2010	3.33
November 2010	5.48
December 2010	1.62
January 2011	2.63
February 2011	4.25
March 2011	9.06
April 2011	3.06
May 2011	2.93
June 2011	2.2
July 2011	2.67
August 2011	1.51
September 2011	2.3
October 2011	1.7
November 2011	2.49
December 2011	4.43
January 2012	5.14
February 2012	2.23
March 2012	3.52
April 2012	2.23
May 2012	3.41
June 2012	2.28
July 2012	3.53
August 2012	3.89
September 2012	1.37
October 2012	1.83
November 2012	1.67
December 2012	5.93
January 2013	4.9
February 2013	7.5
March 2013	4.58
April 2013	5.51
May 2013	5.26
June 2013	9.57
July 2013	8.48
August 2013	5.24
September 2013	2.74
October 2013	2.57
November 2013	1.87
December 2013	7.8
January 2014	3.35
February 2014	3.81
March 2014	3.12
April 2014	5.9
May 2014	2.29
June 2014	5.1
July 2014	4.6
August 2014	5.8
September 2014	0.75
October 2014	3.54
November 2014	3.85
December 2014	5.51
January 2015	4.36
February 2015	4.15
March 2015	2.98
April 2015	7.79
May 2015	4.44
June 2015	6.91
July 2015	5.01
August 2015	5.77
September 2015	3.93
October 2015	2.55
November 2015	7.98
December 2015	12.51
